Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
SE#SP#Santa Branca #,897,0.735,1405,0.706,606,0.678,1747,0.828,539,0.657,737,0.68,429,0.542,1523,0.771
NE#BA#Santa Brígida #,5253,0.546,5037,0.533,5071,0.431,5398,0.71,5484,0.316,5437,0.405,5429,0.134,5485,0.584
CO#MT#Santa Carmem #,1454,0.715,1473,0.703,1433,0.628,1798,0.827,1973,0.579,651,0.685,2657,0.361,1074,0.786
NE#PB#Santa Cecília #,5432,0.525,5297,0.515,5313,0.402,5487,0.699,5464,0.32,5494,0.39,5374,0.145,5495,0.58
S#SC#Santa Cecília #,1969,0.698,1678,0.697,2014,0.597,2216,0.819,2467,0.552,2235,0.614,2543,0.369,2466,0.743
S#PR#Santa Cecília do Pavão #,1217,0.723,2119,0.681,849,0.661,1281,0.838,1859,0.585,3043,0.572,1242,0.465,2140,0.753
S#RS#Santa Cecília do Sul #,1154,0.725,125,0.781,2322,0.581,1238,0.839,2825,0.529,1630,0.641,3734,0.279,166,0.828
S#RS#Santa Clara do Sul #,764,0.74,478,0.747,1112,0.644,1032,0.843,1336,0.612,1383,0.652,1661,0.434,411,0.81
SE#SP#Santa Clara D'Oeste #,940,0.733,1248,0.712,505,0.687,2940,0.804,1405,0.608,2024,0.623,1095,0.476,2018,0.757
NE#PB#Santa Cruz #,3735,0.618,4023,0.578,3522,0.523,3775,0.779,3553,0.476,4444,0.48,3064,0.33,4011,0.681
NE#PE#Santa Cruz #,5209,0.549,5215,0.522,4973,0.438,5268,0.722,5376,0.341,5269,0.427,5401,0.139,4234,0.668
NE#RN#Santa Cruz #,3393,0.635,3664,0.597,2690,0.564,4430,0.761,3064,0.513,3627,0.53,2641,0.362,3564,0.702
NE#BA#Santa Cruz Cabrália #,3030,0.654,3261,0.624,2531,0.571,3670,0.784,3409,0.486,2375,0.607,3834,0.273,3824,0.692
NE#PE#Santa Cruz da Baixa Verde #,3866,0.612,4529,0.557,3522,0.523,3629,0.786,3579,0.474,4491,0.477,3238,0.316,3411,0.708
SE#SP#Santa Cruz da Conceição #,67,0.79,26,0.83,593,0.679,118,0.876,179,0.691,266,0.714,390,0.547,47,0.844
SE#SP#Santa Cruz da Esperança #,695,0.743,1069,0.719,516,0.686,1560,0.832,310,0.674,858,0.674,199,0.576,996,0.788
NE#BA#Santa Cruz da Vitória #,3902,0.61,4137,0.573,3908,0.504,3629,0.786,4278,0.43,4608,0.47,4013,0.26,4550,0.651
SE#SP#Santa Cruz das Palmeiras #,1081,0.728,494,0.746,1295,0.635,2407,0.815,951,0.632,632,0.686,1095,0.476,1433,0.774
CO#GO#Santa Cruz de Goiás #,2224,0.688,1576,0.7,2707,0.563,1798,0.827,2085,0.573,945,0.67,2737,0.355,896,0.791
SE#MG#Santa Cruz de Minas #,1720,0.706,2647,0.66,1271,0.636,1238,0.839,1405,0.608,2573,0.598,946,0.488,1492,0.772
S#PR#Santa Cruz de Monte Castelo #,1595,0.71,2119,0.681,1329,0.633,1603,0.831,1405,0.608,2111,0.619,1134,0.473,1652,0.767
SE#MG#Santa Cruz de Salinas #,4695,0.577,4720,0.548,4631,0.463,4552,0.757,4655,0.407,5219,0.431,4306,0.24,4526,0.653
N#PA#Santa Cruz do Arari #,5098,0.557,5499,0.483,4672,0.461,3948,0.775,4859,0.393,4491,0.477,4990,0.192,4278,0.665
NE#PE#Santa Cruz do Capibaribe #,3156,0.648,2490,0.667,3868,0.506,2849,0.806,2963,0.52,1811,0.633,3429,0.302,2774,0.734
SE#MG#Santa Cruz do Escalvado #,3587,0.625,3354,0.618,4241,0.485,2407,0.815,4005,0.445,3927,0.51,4285,0.241,3183,0.715
NE#PI#Santa Cruz do Piauí #,4123,0.601,4201,0.57,3388,0.53,5291,0.72,4005,0.445,3893,0.512,3834,0.273,4935,0.632
SE#SP#Santa Cruz do Rio Pardo #,335,0.762,532,0.744,516,0.686,257,0.867,328,0.672,266,0.714,518,0.53,635,0.801
S#RS#Santa Cruz do Sul #,197,0.773,116,0.782,442,0.693,643,0.852,252,0.682,152,0.732,528,0.529,245,0.82
CO#MT#Santa Cruz do Xingu #,2332,0.684,1449,0.704,2988,0.55,1747,0.828,3111,0.509,924,0.671,4069,0.256,1584,0.769
NE#PI#Santa Cruz dos Milagres #,4695,0.577,5191,0.524,3814,0.509,5306,0.719,4876,0.392,5249,0.428,4511,0.227,5148,0.619
SE#MG#Santa Efigênia de Minas #,3984,0.607,3998,0.579,4216,0.487,3400,0.793,4150,0.437,3644,0.529,4718,0.214,2654,0.737
SE#SP#Santa Ernestina #,823,0.738,1136,0.716,364,0.699,3026,0.802,717,0.644,1329,0.654,354,0.551,2578,0.74
S#PR#Santa Fé #,1756,0.705,1008,0.721,1945,0.601,2754,0.808,967,0.631,1242,0.657,645,0.515,2436,0.744
CO#GO#Santa Fé de Goiás #,1514,0.713,1473,0.703,1802,0.608,846,0.847,2652,0.541,2764,0.588,3032,0.332,430,0.809
SE#MG#Santa Fé de Minas #,3796,0.615,3796,0.589,4116,0.492,2940,0.804,3011,0.516,3874,0.514,2376,0.381,3564,0.702
N#TO#Santa Fé do Araguaia #,3771,0.616,3562,0.604,4284,0.482,2940,0.804,4121,0.439,3613,0.531,4285,0.241,4329,0.663
SE#SP#Santa Fé do Sul #,100,0.784,252,0.763,47,0.751,1183,0.84,89,0.706,209,0.721,88,0.603,430,0.809
NE#PE#Santa Filomena #,5370,0.533,5454,0.496,5287,0.406,4697,0.752,5489,0.315,5492,0.391,5487,0.118,4082,0.677
NE#PI#Santa Filomena #,5277,0.544,5096,0.53,5411,0.385,3540,0.789,4859,0.393,4491,0.477,5070,0.185,3855,0.69
NE#MA#Santa Filomena do Maranhão #,5432,0.525,5543,0.461,5011,0.435,5268,0.722,5393,0.337,5409,0.409,5318,0.155,5357,0.603
SE#SP#Santa Gertrudes #,850,0.737,961,0.723,966,0.654,846,0.847,717,0.644,651,0.685,795,0.501,1288,0.778
NE#MA#Santa Helena #,4827,0.571,5075,0.531,4502,0.471,4860,0.746,4778,0.398,4265,0.489,4805,0.208,5179,0.618
NE#PB#Santa Helena #,3927,0.609,4201,0.57,3908,0.504,3629,0.786,4099,0.44,4103,0.498,4013,0.26,4470,0.656
S#PR#Santa Helena #,667,0.744,639,0.738,606,0.678,1987,0.823,270,0.678,974,0.669,132,0.591,960,0.789
S#SC#Santa Helena #,1107,0.727,1424,0.705,982,0.653,1515,0.833,1405,0.608,2286,0.611,1475,0.448,228,0.821
CO#GO#Santa Helena de Goiás #,1191,0.724,739,0.734,1457,0.627,1987,0.823,1916,0.582,1600,0.642,2110,0.4,1689,0.766
SE#MG#Santa Helena de Minas #,4903,0.567,5075,0.531,4447,0.474,5254,0.723,3730,0.463,4312,0.487,3126,0.325,5044,0.627
NE#BA#Santa Inês #,4764,0.574,4180,0.571,4532,0.47,5444,0.704,3714,0.464,3805,0.519,3670,0.283,4045,0.679
NE#MA#Santa Inês #,2573,0.674,3120,0.633,1687,0.615,3570,0.788,3079,0.512,3267,0.554,2688,0.358,4067,0.678
NE#PB#Santa Inês #,4802,0.572,4903,0.54,4116,0.492,5431,0.706,5398,0.336,5537,0.37,5192,0.172,5408,0.596
S#PR#Santa Inês #,1398,0.717,2295,0.675,883,0.659,1798,0.827,1235,0.617,2305,0.61,683,0.511,2140,0.753
CO#GO#Santa Isabel #,2359,0.683,2685,0.658,2084,0.593,2259,0.818,2231,0.566,2840,0.584,1775,0.425,2874,0.729
SE#SP#Santa Isabel #,823,0.738,1576,0.7,483,0.689,1464,0.834,1023,0.628,772,0.678,1186,0.469,1254,0.78
S#PR#Santa Isabel do Ivaí #,1301,0.72,1678,0.697,930,0.656,2307,0.817,673,0.647,1873,0.63,300,0.558,1584,0.769
N#PA#Santa Isabel do Pará #,2924,0.659,3293,0.622,2427,0.576,3214,0.798,2742,0.535,3308,0.551,2387,0.38,2816,0.732
N#AM#Santa Isabel do Rio Negro #,5555,0.479,5543,0.461,5540,0.323,5032,0.737,4986,0.384,5364,0.416,4628,0.22,5127,0.621
S#PR#Santa Izabel do Oeste #,2028,0.696,2230,0.677,1904,0.603,1846,0.826,1821,0.587,1839,0.632,1864,0.417,1584,0.769
SE#MG#Santa Juliana #,1720,0.706,897,0.726,2816,0.558,238,0.868,1118,0.623,835,0.675,1475,0.448,660,0.8
SE#ES#Santa Leopoldina #,3561,0.626,2908,0.646,4390,0.477,3252,0.797,3666,0.468,2973,0.576,4190,0.248,3126,0.719
S#PR#Santa Lúcia #,2251,0.687,1939,0.688,2111,0.592,3329,0.795,2067,0.574,2111,0.619,1667,0.433,3479,0.706
SE#SP#Santa Lúcia #,850,0.737,1707,0.696,318,0.703,2259,0.818,356,0.669,688,0.683,390,0.547,635,0.801
NE#PI#Santa Luz #,4444,0.588,4927,0.539,4163,0.49,4204,0.768,4551,0.414,5148,0.436,4272,0.242,4137,0.673
NE#BA#Santa Luzia #,5116,0.556,4351,0.564,5359,0.396,4204,0.768,5074,0.378,4815,0.459,5082,0.184,4812,0.638
NE#MA#Santa Luzia #,5194,0.55,5172,0.525,4808,0.452,5476,0.7,5430,0.33,4979,0.448,5408,0.137,5462,0.587
SE#MG#Santa Luzia #,1454,0.715,2090,0.682,1492,0.625,451,0.859,1405,0.608,2024,0.623,1278,0.463,1265,0.779
NE#PB#Santa Luzia #,2386,0.682,3322,0.62,1295,0.635,2940,0.804,2902,0.524,3447,0.542,2444,0.376,3513,0.705
NE#SE#Santa Luzia do Itanhy #,5268,0.545,5325,0.513,5238,0.414,4329,0.764,5328,0.349,5364,0.416,5266,0.162,5016,0.629
NE#AL#Santa Luzia do Norte #,4215,0.597,3980,0.58,4390,0.477,4131,0.77,4199,0.434,4151,0.495,4113,0.253,4526,0.653
N#PA#Santa Luzia do Pará #,5253,0.546,5096,0.53,5145,0.424,5241,0.724,5234,0.362,5064,0.442,5217,0.169,4819,0.637
NE#MA#Santa Luzia do Paruá #,4167,0.599,3908,0.583,3792,0.51,5254,0.723,4824,0.395,5219,0.431,4645,0.219,4526,0.653
N#RO#Santa Luzia D'Oeste #,2663,0.67,2709,0.657,2690,0.564,2562,0.812,3462,0.482,3423,0.543,3487,0.297,3802,0.693
SE#MG#Santa Margarida #,3902,0.61,3095,0.635,4758,0.455,3649,0.785,3381,0.488,1600,0.642,3974,0.263,3874,0.689
S#RS#Santa Margarida do Sul #,2828,0.663,1858,0.691,4259,0.484,204,0.87,2880,0.526,3178,0.561,3381,0.306,42,0.846
NE#RN#Santa Maria #,4395,0.59,4583,0.554,4390,0.477,3775,0.779,4637,0.408,4349,0.485,4768,0.21,4234,0.668
S#RS#Santa Maria #,100,0.784,64,0.795,205,0.715,792,0.848,67,0.715,76,0.748,132,0.591,166,0.828
NE#PE#Santa Maria da Boa Vista #,4395,0.59,4351,0.564,4487,0.472,4028,0.773,3666,0.468,3627,0.53,3640,0.285,4082,0.677
SE#SP#Santa Maria da Serra #,2282,0.686,1939,0.688,2531,0.571,2161,0.82,1754,0.59,1242,0.657,2059,0.403,1346,0.776
NE#BA#Santa Maria da Vitória #,3820,0.614,3753,0.592,3675,0.516,4509,0.758,3944,0.449,3861,0.515,4140,0.251,3624,0.7
N#PA#Santa Maria das Barreiras #,5277,0.544,4565,0.555,5469,0.37,3690,0.783,4637,0.408,3338,0.549,5208,0.17,2888,0.728
SE#MG#Santa Maria de Itabira #,3156,0.648,3293,0.622,3328,0.533,2112,0.821,2935,0.522,2764,0.588,3109,0.326,2512,0.742
SE#ES#Santa Maria de Jetibá #,2642,0.671,1741,0.695,3571,0.521,1464,0.834,3203,0.502,1600,0.642,3988,0.262,2140,0.753
NE#PE#Santa Maria do Cambucá #,5225,0.548,4180,0.571,5371,0.393,5063,0.735,5059,0.379,4858,0.456,4978,0.193,5210,0.617
S#RS#Santa Maria do Herval #,2524,0.676,1136,0.716,3792,0.51,901,0.846,1604,0.598,1100,0.663,1847,0.419,1523,0.771
S#PR#Santa Maria do Oeste #,3927,0.609,3623,0.6,4390,0.477,3511,0.79,3567,0.475,3893,0.512,3479,0.298,3564,0.702
N#PA#Santa Maria do Pará #,4198,0.598,3695,0.595,4502,0.471,4329,0.764,3730,0.463,3308,0.551,3874,0.27,4278,0.665
SE#MG#Santa Maria do Salto #,3847,0.613,3734,0.593,3847,0.507,4304,0.765,4199,0.434,3874,0.514,4285,0.241,4341,0.662
SE#MG#Santa Maria do Suaçuí #,3291,0.64,3190,0.629,3774,0.511,2307,0.817,3262,0.497,3235,0.557,3391,0.305,2984,0.724
N#TO#Santa Maria do Tocantins #,3407,0.634,3623,0.6,3137,0.543,3670,0.784,4582,0.412,4858,0.456,4415,0.233,4470,0.656
SE#RJ#Santa Maria Madalena #,2716,0.668,2375,0.672,2866,0.556,3252,0.797,2085,0.573,1943,0.627,2110,0.4,2296,0.749
S#PR#Santa Mariana #,1904,0.7,2035,0.684,1517,0.624,2940,0.804,1545,0.601,1893,0.629,1340,0.458,2140,0.753
SE#SP#Santa Mercedes #,795,0.739,2061,0.683,364,0.699,846,0.847,967,0.631,2253,0.613,413,0.544,2086,0.755
S#PR#Santa Mônica #,1776,0.704,1649,0.698,1395,0.63,3428,0.792,2195,0.568,3286,0.552,1416,0.453,2795,0.733
NE#CE#Santa Quitéria #,3771,0.616,4757,0.546,2924,0.553,3948,0.775,4258,0.431,4402,0.482,4403,0.234,3285,0.712
NE#MA#Santa Quitéria do Maranhão #,5128,0.555,5475,0.49,4724,0.458,4452,0.76,4999,0.383,5077,0.441,4869,0.202,4958,0.631
NE#MA#Santa Rita #,3927,0.609,4609,0.553,2967,0.551,4916,0.743,3990,0.446,4979,0.448,3238,0.316,5090,0.625
NE#PB#Santa Rita #,3534,0.627,3664,0.597,3300,0.534,3987,0.774,3609,0.472,3662,0.528,3670,0.283,3548,0.703
SE#MG#Santa Rita de Caldas #,2182,0.69,1797,0.693,2427,0.576,1987,0.823,1586,0.599,1359,0.653,1864,0.417,924,0.79
NE#BA#Santa Rita de Cássia #,4029,0.605,4351,0.564,3737,0.513,4272,0.766,3877,0.453,4550,0.474,3701,0.281,3663,0.698
SE#MG#Santa Rita de Ibitipoca #,3487,0.63,3247,0.625,3883,0.505,3400,0.793,3100,0.51,2913,0.579,3247,0.315,2888,0.728
SE#MG#Santa Rita de Jacutinga #,2386,0.682,2266,0.676,2633,0.567,1846,0.826,1774,0.589,2349,0.608,1572,0.441,1761,0.764
SE#MG#Santa Rita de Minas #,3847,0.613,3220,0.627,4614,0.464,3475,0.791,3452,0.483,2778,0.587,3858,0.271,3438,0.707
CO#GO#Santa Rita do Araguaia #,1486,0.714,1473,0.703,1670,0.616,1075,0.842,1642,0.596,1712,0.638,1903,0.414,606,0.802
SE#MG#Santa Rita do Itueto #,3984,0.607,3492,0.609,4487,0.472,3775,0.779,3409,0.486,3129,0.566,3858,0.271,2258,0.75
CO#GO#Santa Rita do Novo Destino #,3407,0.634,3034,0.639,4216,0.487,2161,0.82,3300,0.495,3351,0.548,3323,0.31,3285,0.712
CO#MS#Santa Rita do Pardo #,3254,0.642,2747,0.655,3883,0.505,3129,0.8,3053,0.514,2533,0.6,3369,0.307,2654,0.737
SE#SP#Santa Rita do Passa Quatro #,178,0.775,241,0.764,516,0.686,19,0.887,48,0.721,36,0.765,80,0.606,430,0.809
SE#MG#Santa Rita do Sapucaí #,1266,0.721,870,0.727,1593,0.62,1647,0.83,580,0.654,435,0.699,748,0.505,858,0.792
N#TO#Santa Rita do Tocantins #,3090,0.651,3173,0.63,3434,0.527,1647,0.83,4278,0.43,3677,0.527,4685,0.216,3639,0.699
CO#MT#Santa Rita do Trivelato #,897,0.735,639,0.738,1350,0.632,643,0.852,1642,0.596,2163,0.617,1667,0.433,858,0.792
SE#SP#Santa Rita D'Oeste #,350,0.761,1268,0.711,75,0.74,1238,0.839,951,0.632,2349,0.608,362,0.55,2107,0.754
S#RS#Santa Rosa #,238,0.769,375,0.752,442,0.693,181,0.871,228,0.685,487,0.696,354,0.551,83,0.839
SE#MG#Santa Rosa da Serra #,1756,0.705,1741,0.695,2293,0.583,276,0.866,1695,0.593,1943,0.627,1827,0.421,924,0.79
CO#GO#Santa Rosa de Goiás #,1866,0.701,2971,0.643,1295,0.635,986,0.844,2597,0.544,3162,0.563,2221,0.393,2932,0.726
S#SC#Santa Rosa de Lima #,420,0.757,897,0.726,239,0.71,1032,0.843,1821,0.587,1383,0.652,1864,0.417,2436,0.744
NE#SE#Santa Rosa de Lima #,4331,0.592,5140,0.527,3716,0.514,4272,0.766,3959,0.448,4530,0.475,3629,0.286,4341,0.662
SE#SP#Santa Rosa de Viterbo #,227,0.77,494,0.746,305,0.704,238,0.868,562,0.655,544,0.692,766,0.504,493,0.806
NE#PI#Santa Rosa do Piauí #,4903,0.567,4927,0.539,4272,0.483,5487,0.699,5310,0.352,4728,0.464,5217,0.169,5551,0.556
N#AC#Santa Rosa do Purus #,5473,0.517,5251,0.519,5526,0.34,3726,0.781,5551,0.277,5554,0.359,5546,0.084,3599,0.701
S#SC#Santa Rosa do Sul #,1756,0.705,1516,0.702,1633,0.618,2849,0.806,1570,0.6,1967,0.626,1355,0.457,2064,0.756
N#TO#Santa Rosa do Tocantins #,4255,0.595,4116,0.574,4502,0.471,3751,0.78,4612,0.41,4151,0.495,4741,0.212,4470,0.656
SE#SP#Santa Salete #,210,0.772,1248,0.712,59,0.748,319,0.864,320,0.673,1943,0.627,206,0.575,41,0.847
SE#ES#Santa Teresa #,1486,0.714,989,0.722,1880,0.604,1464,0.834,1173,0.62,835,0.675,1617,0.437,446,0.808
NE#BA#Santa Teresinha #,4467,0.587,4698,0.549,4711,0.459,2940,0.804,4551,0.414,4678,0.467,4718,0.214,3378,0.709
NE#PB#Santa Teresinha #,3534,0.627,3853,0.586,3737,0.513,2161,0.82,4452,0.42,4829,0.458,4544,0.225,3126,0.719
S#RS#Santa Tereza #,628,0.746,232,0.765,1248,0.637,610,0.853,1358,0.611,569,0.69,2235,0.392,50,0.843
CO#GO#Santa Tereza de Goiás #,2776,0.665,3095,0.635,2757,0.561,1905,0.825,1821,0.587,2008,0.624,1289,0.462,3564,0.702
S#PR#Santa Tereza do Oeste #,1756,0.705,1996,0.686,1350,0.632,2754,0.808,1545,0.601,2405,0.606,856,0.496,3068,0.722
N#TO#Santa Tereza do Tocantins #,2846,0.662,3354,0.618,2457,0.575,2307,0.817,3512,0.479,4678,0.467,2832,0.348,4067,0.678
CO#MT#Santa Terezinha #,3927,0.609,3678,0.596,4007,0.498,4430,0.761,3481,0.481,3530,0.537,3419,0.303,3962,0.684
NE#PE#Santa Terezinha #,4309,0.593,4903,0.54,3502,0.524,5032,0.737,4237,0.432,4678,0.467,3701,0.281,5247,0.614
S#SC#Santa Terezinha #,2691,0.669,3068,0.637,2457,0.575,2307,0.817,2755,0.534,2680,0.593,2961,0.337,1761,0.764
CO#GO#Santa Terezinha de Goiás #,1866,0.701,2883,0.647,1112,0.644,1846,0.826,2518,0.549,2798,0.586,2255,0.39,3018,0.723
S#PR#Santa Terezinha de Itaipu #,823,0.738,1136,0.716,483,0.689,2453,0.814,834,0.638,814,0.676,672,0.512,2211,0.751
S#SC#Santa Terezinha do Progresso #,2386,0.682,1996,0.686,2245,0.585,3475,0.791,2480,0.551,2375,0.607,2628,0.363,1987,0.758
N#TO#Santa Terezinha do Tocantins #,3357,0.637,3908,0.583,2266,0.584,4509,0.758,4778,0.398,5345,0.418,4285,0.241,5034,0.628
SE#MG#Santa Vitória #,1595,0.71,1091,0.718,2427,0.576,303,0.865,2245,0.565,1383,0.652,2774,0.352,1031,0.787
S#RS#Santa Vitória do Palmar #,1546,0.712,1318,0.709,2133,0.591,390,0.861,1069,0.626,798,0.677,1116,0.474,1689,0.766
NE#BA#Santaluz #,4198,0.598,4476,0.559,3979,0.5,4329,0.764,3812,0.458,3465,0.541,3763,0.277,4743,0.641
N#AP#Santana #,2134,0.692,2767,0.654,1232,0.638,3362,0.794,2298,0.562,2598,0.597,1995,0.408,2888,0.728
NE#BA#Santana #,3957,0.608,3876,0.585,4047,0.496,3897,0.776,3624,0.471,3720,0.524,3487,0.297,4189,0.67
S#RS#Santana da Boa Vista #,3433,0.633,3173,0.63,3925,0.503,3026,0.802,2451,0.553,2778,0.587,2444,0.376,1727,0.765
SE#SP#Santana da Ponte Pensa #,197,0.773,398,0.751,107,0.733,1183,0.84,242,0.683,1155,0.661,178,0.58,120,0.832
SE#MG#Santana da Vargem #,1969,0.698,2119,0.681,2210,0.587,722,0.85,1358,0.611,835,0.675,1521,0.445,1987,0.758
SE#MG#Santana de Cataguases #,2078,0.694,2971,0.643,945,0.655,3400,0.793,1525,0.602,2732,0.59,971,0.486,1948,0.759
NE#PB#Santana de Mangueira #,5361,0.535,5481,0.488,5238,0.414,4579,0.756,5226,0.363,5422,0.407,5070,0.185,4876,0.636
SE#SP#Santana de Parnaíba #,16,0.814,3,0.876,149,0.725,759,0.849,73,0.713,4,0.848,518,0.53,515,0.805
SE#MG#Santana de Pirapama #,3519,0.628,3368,0.617,4095,0.493,2357,0.816,3609,0.472,3364,0.547,3999,0.261,2654,0.737
NE#CE#Santana do Acaraú #,4467,0.587,4987,0.536,3979,0.5,4602,0.755,4258,0.431,4491,0.477,4217,0.246,3993,0.682
N#PA#Santana do Araguaia #,4101,0.602,3769,0.591,4373,0.478,3987,0.774,3930,0.45,3402,0.544,4565,0.224,2364,0.747
NE#CE#Santana do Cariri #,3866,0.612,5140,0.527,2844,0.557,3775,0.779,4371,0.424,5232,0.43,4069,0.256,3802,0.693
SE#MG#Santana do Deserto #,3090,0.651,2647,0.66,4095,0.493,759,0.849,2366,0.559,2662,0.594,2397,0.379,1433,0.774
SE#MG#Santana do Garambéu #,2738,0.667,2871,0.648,2816,0.558,2064,0.822,2880,0.526,3286,0.552,2590,0.366,3106,0.72
NE#AL#Santana do Ipanema #,4372,0.591,3998,0.579,4631,0.463,4131,0.77,4353,0.425,3955,0.508,4353,0.237,4812,0.638
S#PR#Santana do Itararé #,2251,0.687,2767,0.654,2245,0.585,792,0.848,2160,0.57,2573,0.598,2023,0.406,1781,0.763
SE#MG#Santana do Jacaré #,3172,0.647,2747,0.655,3522,0.523,3511,0.79,2298,0.562,2235,0.614,2124,0.399,3018,0.723
S#RS#Sant'Ana do Livramento #,1107,0.727,1166,0.715,1271,0.636,901,0.846,445,0.663,487,0.696,528,0.529,858,0.792
SE#MG#Santana do Manhuaçu #,3680,0.621,3293,0.622,4430,0.475,2696,0.809,3111,0.509,2953,0.577,3165,0.322,3378,0.709
NE#MA#Santana do Maranhão #,5500,0.51,5555,0.445,5367,0.394,4509,0.758,5555,0.267,5551,0.362,5547,0.083,4876,0.636
NE#RN#Santana do Matos #,4372,0.591,4476,0.559,4284,0.482,4245,0.767,4258,0.431,4815,0.459,3786,0.276,4958,0.631
NE#AL#Santana do Mundaú #,5461,0.519,5325,0.513,5490,0.362,4697,0.752,5288,0.356,4741,0.463,5345,0.151,4642,0.647
SE#MG#Santana do Paraíso #,2309,0.685,2592,0.663,2953,0.552,98,0.878,2338,0.56,2953,0.577,2202,0.394,1523,0.771
NE#PI#Santana do Piauí #,4764,0.574,4927,0.539,4409,0.476,5049,0.736,5316,0.351,5163,0.435,5303,0.157,4935,0.632
SE#MG#Santana do Riacho #,2776,0.665,3000,0.641,2967,0.551,1464,0.834,3279,0.496,2745,0.589,3701,0.281,2654,0.737
NE#SE#Santana do São Francisco #,4395,0.59,4804,0.544,3458,0.526,5339,0.716,4474,0.419,5019,0.445,3763,0.277,5408,0.596
NE#RN#Santana do Seridó #,3254,0.642,3695,0.595,2338,0.58,4245,0.767,2880,0.526,4074,0.501,2202,0.394,2706,0.736
NE#PB#Santana dos Garrotes #,4284,0.594,4243,0.568,4351,0.479,4064,0.772,3959,0.448,4907,0.453,3594,0.289,3929,0.686
SE#MG#Santana dos Montes #,3172,0.647,3506,0.608,2844,0.557,3077,0.801,3579,0.474,4199,0.492,3404,0.304,3371,0.71
NE#BA#Santanópolis #,4331,0.592,4425,0.561,4047,0.496,4860,0.746,4319,0.427,4935,0.451,4013,0.26,4261,0.666
N#PA#Santarém #,2161,0.691,3140,0.632,1050,0.648,2805,0.807,2419,0.555,3059,0.571,2154,0.397,2086,0.755
NE#PB#Santarém #,3653,0.622,4609,0.553,2600,0.568,4304,0.765,4353,0.425,5109,0.439,3834,0.273,4713,0.642
N#PA#Santarém Novo #,4467,0.587,5235,0.52,3943,0.502,3987,0.774,4371,0.424,4017,0.504,4498,0.228,4278,0.665
S#RS#Santiago #,274,0.766,494,0.746,560,0.682,70,0.882,151,0.696,529,0.693,161,0.583,101,0.835
S#SC#Santiago do Sul #,1081,0.728,805,0.731,995,0.652,2611,0.811,1879,0.584,3106,0.568,1278,0.463,1987,0.758
CO#MT#Santo Afonso #,2199,0.689,2747,0.655,1977,0.599,1464,0.834,2809,0.53,3008,0.574,2737,0.355,2874,0.729
NE#BA#Santo Amaro #,3186,0.646,3235,0.626,2798,0.559,4064,0.772,3011,0.516,3320,0.55,2305,0.386,4659,0.646
S#SC#Santo Amaro da Imperatriz #,119,0.781,360,0.753,239,0.71,11,0.89,270,0.678,617,0.687,390,0.547,145,0.83
NE#SE#Santo Amaro das Brotas #,3357,0.637,3437,0.613,3137,0.543,3831,0.778,3279,0.496,4035,0.503,2832,0.348,3759,0.695
NE#MA#Santo Amaro do Maranhão #,5467,0.518,5548,0.454,5222,0.416,5008,0.738,5398,0.336,5562,0.336,5028,0.188,5357,0.603
SE#SP#Santo Anastácio #,488,0.753,918,0.725,483,0.689,581,0.854,237,0.684,924,0.671,118,0.593,563,0.803
NE#PB#Santo André #,4144,0.6,4243,0.568,4409,0.476,3252,0.797,3944,0.449,3423,0.543,4113,0.253,4431,0.658
SE#SP#Santo André #,14,0.815,33,0.819,16,0.769,390,0.861,25,0.738,22,0.781,24,0.65,896,0.791
S#RS#Santo Ângelo #,210,0.772,232,0.765,404,0.696,343,0.863,228,0.685,338,0.707,300,0.558,347,0.814
NE#RN#Santo Antônio #,3702,0.62,3695,0.595,3753,0.512,3704,0.782,3452,0.483,3691,0.526,3594,0.289,2602,0.739
SE#SP#Santo Antônio da Alegria #,1842,0.702,1890,0.69,1880,0.604,1647,0.83,1429,0.607,877,0.673,1591,0.439,1987,0.758
CO#GO#Santo Antônio da Barra #,2161,0.691,2535,0.665,2084,0.593,1419,0.835,2668,0.54,2163,0.617,2854,0.346,2624,0.738
S#RS#Santo Antônio da Patrulha #,1398,0.717,1091,0.718,2065,0.594,276,0.866,1173,0.62,1600,0.642,1116,0.474,1139,0.784
S#PR#Santo Antônio da Platina #,1362,0.718,765,0.733,1649,0.617,2307,0.817,1586,0.599,1242,0.657,1429,0.452,2953,0.725
S#RS#Santo Antônio das Missões #,2282,0.686,2375,0.672,2427,0.576,1419,0.835,1916,0.582,2405,0.606,1631,0.436,2323,0.748
CO#GO#Santo Antônio de Goiás #,1217,0.723,1967,0.687,829,0.662,1560,0.832,1196,0.619,1566,0.644,1289,0.462,741,0.796
NE#BA#Santo Antônio de Jesus #,1904,0.7,2230,0.677,1556,0.622,2407,0.815,2338,0.56,2716,0.591,2096,0.401,2466,0.743
NE#PI#Santo Antônio de Lisboa #,4540,0.584,3664,0.597,4463,0.473,5444,0.704,4048,0.443,3465,0.541,3925,0.266,5325,0.606
